LSOA code,District or communal heat networks only,Electric only,Mains gas only,centralheating_no,Oil only,Other central heating only,Renewable energy only,Solid fuel only,Tank or bottled gas only,Two or more types of central heating (including renewable energy),Two or more types of central heating (not including renewable energy),Wood only,total,centralheating_yes
E01000878,54,180,417,17,1,21,7,0,5,6,57,0,765,748
E01000879,22,50,442,14,1,3,1,0,1,2,36,0,572,558
E01000880,4,30,472,9,0,9,0,0,5,3,46,0,578,569
E01000881,16,82,429,11,0,10,2,0,3,4,46,0,603,592
E01000882,6,41,534,17,2,11,0,0,2,3,50,0,666,649
E01000883,74,110,447,25,4,19,1,0,8,3,64,0,755,730
E01000884,8,41,457,13,2,5,2,0,7,3,44,0,582,569
E01000885,33,34,397,5,2,11,3,0,1,1,40,0,527,522
E01000886,8,24,494,9,0,7,0,0,4,5,42,0,593,584
E01000887,9,59,514,14,1,5,1,0,3,3,42,0,651,637
E01000888,60,43,452,17,1,11,1,0,5,1,47,0,638,621
E01000889,162,89,354,12,2,22,2,0,6,7,53,0,709,697
E01000890,330,68,127,14,5,23,1,0,6,1,32,0,607,593
E01000891,273,60,183,17,2,24,0,0,2,3,51,0,615,598
E01000892,89,78,543,16,0,23,0,0,6,2,58,0,815,799
E01000893,5,30,539,19,0,3,0,0,3,1,57,0,657,638
E01000894,4,38,451,12,0,6,0,0,3,1,49,0,564,552
E01000895,70,83,517,25,6,12,0,0,1,1,69,0,784,759
E01000896,6,41,543,16,0,4,3,0,2,6,43,0,664,648
E01000897,12,33,522,18,1,10,0,0,6,2,50,0,654,636
E01000898,86,150,437,17,8,43,4,0,7,4,70,0,826,809
E01000899,24,51,538,20,0,9,2,0,5,3,53,0,705,685
E01000900,41,50,541,16,0,9,0,0,8,2,51,0,718,702
E01000901,20,61,521,20,0,17,4,0,11,9,71,0,734,714
E01000902,26,53,355,17,0,22,1,0,8,1,60,0,543,526
E01000903,20,99,427,21,1,8,0,0,6,1,44,0,627,606
E01000904,111,76,554,20,5,20,1,0,13,2,96,0,898,878
E01000905,327,77,232,15,9,31,1,0,2,2,67,0,763,748
E01000906,160,62,408,13,6,21,1,0,3,1,59,0,734,721
E01000907,217,58,269,14,2,10,3,0,5,4,34,0,616,602
E01000908,146,74,456,21,2,9,5,0,4,1,54,0,772,751
E01000909,11,32,540,9,1,8,3,0,3,4,34,0,645,636
E01000910,9,27,465,5,0,4,1,0,1,3,42,0,557,552
E01000911,14,25,522,9,2,4,0,0,6,5,44,0,631,622
E01000912,140,57,381,12,2,12,2,1,13,2,59,0,681,669
E01000913,19,26,544,8,1,6,0,0,0,10,67,0,681,673
E01000914,35,176,425,45,4,18,3,0,6,2,52,0,766,721
E01000915,176,65,255,12,3,21,0,0,5,0,49,0,586,574
E01000916,69,248,489,20,0,20,1,0,5,3,77,0,932,912
E01000917,118,132,403,14,0,15,1,0,10,1,56,0,750,736
E01000918,71,150,477,22,1,10,1,0,5,4,71,0,812,790
E01000919,89,182,346,27,1,9,3,0,2,5,50,0,714,687
E01000920,61,111,543,35,0,11,6,0,1,2,47,0,817,782
E01000921,13,91,702,22,3,12,1,0,1,4,72,0,921,899
E01000922,24,67,488,17,1,15,5,0,7,6,59,0,689,672
E01000923,2,23,514,9,0,4,1,0,6,7,64,0,630,621
E01000924,10,44,575,20,1,11,1,0,5,4,55,0,726,706
E01000925,76,39,334,10,2,8,2,0,14,2,81,0,568,558
E01000926,36,42,433,16,1,21,0,0,5,3,54,0,611,595
E01000927,27,56,523,14,0,7,0,0,4,3,54,0,688,674
E01000928,19,104,542,13,1,11,3,0,1,9,47,0,750,737
E01000929,85,113,378,26,1,27,0,0,15,2,79,0,726,700
E01000930,153,233,512,47,4,51,0,0,9,1,91,0,1101,1054
E01000931,157,158,442,32,4,31,2,0,14,2,82,0,924,892
E01000932,36,98,619,24,0,19,0,0,6,1,77,0,880,856
E01000933,45,101,564,18,1,13,0,0,6,0,67,0,815,797
E01000934,160,134,289,24,2,43,3,0,2,3,56,1,717,693
E01000935,285,81,213,26,1,36,0,1,15,0,47,0,705,679
E01000937,60,84,191,23,1,22,0,0,2,3,31,0,417,394
E01000938,41,107,375,19,1,14,1,0,4,2,62,0,626,607
E01000939,21,51,323,15,0,19,1,0,11,3,45,0,489,474
E01000941,79,31,339,14,2,20,0,0,7,1,40,0,533,519
E01000942,45,122,264,29,1,10,2,0,6,3,26,0,508,479
E01000943,15,116,255,7,0,10,0,0,3,1,29,0,436,429
E01000944,28,41,395,17,1,22,0,0,8,1,53,0,566,549
E01000946,90,196,297,16,0,23,0,0,6,2,55,0,685,669
E01000947,55,150,490,34,0,13,1,0,8,0,64,0,815,781
E01000948,19,81,538,25,1,17,0,0,3,1,60,0,745,720
E01000949,39,94,455,17,1,25,2,0,2,1,58,0,694,677
E01000951,61,52,327,16,2,28,0,0,3,0,73,0,562,546
E01000952,104,53,375,23,0,15,1,0,8,0,78,0,657,634
E01000954,120,58,361,16,0,28,0,0,5,1,61,0,650,634
E01000955,130,48,264,14,4,20,0,2,6,1,45,0,534,520
E01000956,20,99,366,29,2,17,1,0,16,0,56,0,606,577
E01000957,20,100,435,26,0,8,1,0,5,0,55,0,650,624
E01000958,87,170,549,24,2,22,4,0,3,4,88,0,953,929
E01000959,142,62,371,17,0,26,0,0,6,0,61,0,685,668
E01000960,88,161,515,20,3,17,0,0,8,3,78,0,893,873
E01000961,59,86,446,22,3,16,2,0,11,4,74,0,723,701
E01000962,14,67,598,14,2,8,0,0,6,1,47,0,757,743
E01000963,162,163,336,39,13,35,3,0,9,2,65,0,827,788
E01000964,10,61,593,17,2,14,3,0,6,3,47,0,756,739
E01000965,53,99,543,15,2,20,7,1,4,9,62,0,815,800
E01000966,9,37,591,14,0,3,2,0,0,3,40,0,699,685
E01000967,73,56,402,15,16,21,2,0,4,4,42,0,635,620
E01000968,34,64,546,13,0,12,0,0,4,1,55,0,729,716
E01000969,28,86,668,17,3,13,0,0,7,4,64,0,890,873
E01000970,16,90,551,23,3,16,0,0,0,4,57,0,760,737
E01000971,6,26,478,13,1,1,0,0,5,0,48,0,578,565
E01000972,126,246,441,26,1,30,0,0,9,0,78,0,957,931
E01000973,72,173,712,29,1,40,5,0,8,1,82,0,1123,1094
E01000974,4,83,566,29,0,14,0,0,7,1,61,0,765,736
E01000975,100,192,593,32,1,29,7,0,2,5,77,0,1038,1006
E01000976,5,107,622,28,2,16,0,0,5,1,89,0,875,847
E01000977,16,132,662,23,0,18,2,0,5,1,87,0,946,923
E01000978,16,158,551,24,1,13,0,0,3,2,67,0,835,811
E01000979,4,73,593,27,1,12,3,0,1,1,60,0,775,748
