LSOA code,District or communal heat networks only,Electric only,Mains gas only,centralheating_no,Oil only,Other central heating only,Renewable energy only,Solid fuel only,Tank or bottled gas only,Two or more types of central heating (including renewable energy),Two or more types of central heating (not including renewable energy),Wood only,total,centralheating_yes
E01013621,11,43,649,14,0,18,0,0,8,4,88,0,835,821
E01013622,4,67,483,12,0,15,0,1,4,4,79,0,669,657
E01013623,0,56,651,8,0,10,0,0,4,6,56,1,792,784
E01013624,0,21,452,6,0,13,0,0,6,4,52,0,554,548
E01013625,1,87,485,14,3,22,1,0,2,0,67,0,682,668
E01013626,3,35,459,5,0,23,1,0,8,0,56,0,590,585
E01013627,1,21,329,7,0,9,1,0,1,0,34,0,403,396
E01013628,7,56,520,9,1,19,3,0,7,0,58,0,680,671
E01013629,1,39,430,8,0,14,0,1,1,1,50,0,545,537
E01013630,0,60,427,16,0,16,0,2,5,0,60,0,586,570
E01013631,2,20,446,5,0,11,0,0,3,1,56,0,544,539
E01013632,14,27,566,8,0,17,0,0,7,0,84,0,723,715
E01013633,1,12,549,14,1,18,0,0,1,0,54,0,650,636
E01013634,1,14,505,12,0,9,0,0,4,2,52,0,599,587
E01013635,0,43,469,12,0,14,0,0,5,2,46,0,591,579
E01013636,0,19,427,3,0,7,2,0,0,3,34,0,495,492
E01013637,15,31,621,16,0,12,1,0,7,2,65,1,771,755
E01013638,12,26,544,6,0,14,0,0,1,2,63,0,668,662
E01013639,0,14,449,5,0,9,0,0,6,0,43,0,526,521
E01013640,3,16,537,6,0,14,0,0,7,6,80,0,669,663
E01013641,3,50,457,23,0,10,0,0,4,1,50,0,598,575
E01013642,4,132,566,11,0,4,1,0,5,3,57,0,783,772
E01013643,2,63,587,11,1,7,0,0,4,0,54,0,729,718
E01013648,2,90,554,20,1,19,0,0,6,0,77,0,769,749
E01013649,14,186,380,17,2,8,3,1,1,2,61,0,675,658
E01013650,0,34,622,9,0,4,0,0,4,2,52,0,727,718
E01013651,3,42,519,24,0,18,0,0,1,1,67,0,675,651
E01013652,3,27,476,10,0,17,0,0,3,5,55,0,596,586
E01013653,2,45,671,13,0,25,4,0,3,13,101,0,877,864
E01013654,9,75,596,25,0,34,1,0,2,1,77,0,820,795
E01013655,2,95,503,14,1,29,1,0,4,6,90,0,745,731
E01013656,0,66,347,12,0,32,0,0,3,0,59,0,519,507
E01013657,4,46,381,11,0,14,0,0,4,1,64,0,525,514
E01013658,5,67,429,13,0,32,0,0,7,4,78,0,635,622
E01013659,1,66,440,14,0,24,0,0,3,0,66,0,614,600
E01013660,4,47,495,10,0,16,0,0,2,2,63,0,639,629
E01013661,5,48,482,7,0,15,2,0,3,5,50,0,617,610
E01013662,1,32,439,7,2,18,1,0,1,3,39,0,543,536
E01013663,1,13,426,6,0,8,1,0,0,1,46,0,502,496
E01013664,4,36,606,9,0,13,0,0,5,2,64,0,739,730
E01013665,46,57,511,18,0,15,0,0,3,3,57,2,712,694
E01013666,0,4,525,6,0,6,1,0,3,1,39,0,585,579
E01013667,1,18,560,13,0,9,0,0,7,2,49,0,659,646
E01013668,3,82,347,12,0,20,0,0,1,4,28,0,497,485
E01013669,2,5,406,3,0,7,0,0,0,6,39,0,468,465
E01013670,2,20,622,4,4,5,0,0,1,4,53,0,715,711
E01013671,0,21,515,6,0,10,0,0,3,1,34,0,590,584
E01013672,0,11,425,7,0,6,1,0,4,4,56,0,514,507
E01013673,0,12,514,13,0,10,3,0,6,3,58,0,619,606
E01013674,1,17,606,20,0,7,0,0,2,4,83,0,740,720
E01013675,1,25,568,10,0,4,0,0,3,3,55,0,669,659
E01013676,4,37,687,16,0,5,2,0,6,3,63,0,823,807
E01013677,14,31,577,14,0,8,0,0,1,0,40,0,685,671
E01013678,0,33,544,10,0,17,1,0,3,3,53,3,667,657
E01013679,1,16,421,7,0,7,0,0,1,2,54,0,509,502
E01013680,1,100,625,12,0,7,1,2,3,2,65,0,818,806
E01013681,0,100,597,34,0,23,5,0,5,0,64,0,828,794
E01013682,3,44,624,22,0,10,1,0,3,1,60,0,768,746
E01013683,8,158,697,24,0,16,1,0,3,2,59,0,968,944
E01013684,12,91,687,31,0,18,0,0,5,2,69,0,915,884
E01013685,0,13,546,7,0,7,0,0,3,3,39,0,618,611
E01013686,3,32,606,8,0,7,0,0,3,2,48,0,709,701
E01013687,2,131,503,25,0,7,0,0,1,2,59,2,732,707
E01013688,6,112,605,22,1,20,5,1,9,19,77,0,877,855
E01013689,16,50,402,14,0,3,0,0,5,4,47,0,541,527
E01013690,36,78,588,11,0,32,32,1,2,8,102,2,892,881
E01013691,8,27,473,9,0,10,3,0,5,5,59,0,599,590
E01013692,1,16,409,6,0,8,0,0,3,3,48,0,494,488
E01013693,3,10,445,8,0,7,0,0,5,0,50,0,528,520
E01013694,3,23,691,10,0,12,2,1,6,8,64,0,820,810
E01013696,0,24,708,3,0,13,1,0,7,5,66,0,827,824
E01013698,2,10,483,11,0,13,0,0,4,2,46,0,571,560
E01013699,2,19,571,17,0,7,0,0,0,3,60,0,679,662
E01013700,0,28,495,8,0,10,0,0,0,0,59,0,600,592
E01013702,0,32,539,8,0,1,0,0,1,3,47,0,631,623
E01013703,0,28,435,6,0,4,1,0,1,7,38,0,520,514
E01013704,0,49,521,3,0,0,7,0,0,2,44,0,626,623
E01013705,1,16,569,6,0,5,0,0,4,2,44,0,647,641
E01013706,0,8,581,1,0,1,0,0,1,2,53,0,647,646
E01013707,0,10,528,10,0,4,0,0,1,0,42,0,595,585
E01013709,1,15,491,3,0,2,0,0,0,5,35,0,552,549
E01013710,23,144,440,10,1,10,0,0,5,4,52,0,689,679
E01013711,0,158,485,12,0,8,0,0,2,5,50,0,720,708
